nDocumento,documento,topico
2017,unit still await repli ur custom servic 18 day respons lousi unitedairlin,3
2018,unit happen airlin theyv given flight voucher transpar problem,6
2019,unit thank im book spent extra 7 hr ten w explan fli middl seat char instead memphi,6
2020,unit agent rick clifton seahou told father die need get handbag cabin noth shame,9
2021,watch crew escort back 1st class prebook realli unit jenniferwalshpr dissatisfact und,12
2022,plenti empti seat coach unit dissatisfact understood crew member travel duti prebook f,5
2023,unit good didnt die anyth say get pay,17
2024,unit staff laguardia lago nigeria unprofession uncar help ou,4
2025,unit u kept passeng wait night 4 plane put servic leav everyon strand night inexcus,2
2026,unit flt 359 lax ewr pilot brag get ewr earli wait 20 min jetway driver thank unit,3
2027,unit happi found phone easili worst system ever heard,5
2028,realli 9hour unit jenniferwalshpr dont like delay avoid well way asap,3
2029,unit robbogart wait hour airport told one fib cant ual honest custom,6
2030,unit well yet check bag alreadi vanish havent left airport yet,6
2031,unit rapid trip plane ticket idaho california doesnt problem would wonder,3
2032,unit agent help point there problem amp dont want mess somebodi els plan u flow tech team pl,3
2033,unit delay 3 hour one hour flight frustrat im also unabl get decent meal hournev,18
2034,unit think statu noth think bug search system,6
2035,unit would appreci answer werent alert flight cancel flight plane land showsomerespect,0
2036,unit wtf delay delay 15 hour yvr san unaccept flight crew avail blame never unit,6
2037,unit think left phone flight help,6
2038,unit hey left comput bag wcomput insid unit file onlin report respons,10
2039,unit empti upon takeoff cant someon sit,5
2040,unit case id 8473573 request 25 219 710 day ill get respons bs,3
2041,unit thank form submit im bet someon would honest enough turn though,3
2042,unit 20288 differ book flight want screen shot,16
2043,unit rebook 24 hour origin flight say handl situat bad would understat,2
2044,unit would like supervisor talk wait flight attend one walk amp left,2
2045,unit understand situat wait open 1030pm,12
2046,unit curiou go final learn customerservic,3
2047,unit nice 2 see u sens humor 3hourdelay want 2 b home ill settl beer safe air cours,3
2048,unit servic desk gate 21 help us find flight get us dest time flight got cancel flightl,2
2049,unit 12 thank answer question want make reserv phone perth hold 24hr famili,1
2050,unit wasnt delay much straight cancel flightlat weather wasnt issu either,8
2051,unit thank ruin wed anniversari flight ua4904 ewr rdu delay 3 hour reach home nxt day,18
2052,unit cancel flightl flight unknown reason havent realli given anyth make overnight layov toler,6
2053,unit differ respons posit someth learn delta,3
2054,unit ye flight rebook im lose trust want get anywher time,6
2055,unit solut,17
2056,unit im evri 1st flight take w delay amp evri 2nd time miss evri time lastflightofthenight breakup,15
2057,unit submit complaint line never heard back dont id find,3
2058,unit cool custom told didnt care either expect,5
2059,unit freak worthless hate airlin,5
2060,unit us3645 leav ord time week shame,6
2061,unit miss daughter suppos dpt ord 559pm dpted 830pm check week averag ua3645 shame 7 day averag 754pm,13
2062,unit fantast night wait 3 hour delay airplan alert us flight cancel flight land whatstatu,2
2063,unit delta flight lax compens rental car,0
2064,unit miss set hotel flight delay sfo 6 hour miss wed festiv friend,16
2065,unit board custom onto plane pilot thing expedit time line book new flight come,2
2066,unit stuck tarmac last hour beer,3
2067,unit recent servic bad nc trip awe disappoint never,3
2068,unit freez gate bridgewaitingforbagsunitedewr,2
2069,unit land 940pm stand wait bag load plane sidewhi isnt crew heretiredcustom,5
2070,unit dmb41show need plane get buffalo leav tonight progress,2
2071,unit rebook howev would nice wait extra 90 min airport make right,0
2072,unit enough alreadi poor servic old plane ridicul rout 1k time find new airlin statu match,3
2073,unit wait hour final board airplan find call mainten plane cold,2
2074,unit broke suitcas amp refus give repair estim,6
2075,unit schedul flight crew compet person work airlin,3
2076,unit help 689 chicago get gate freez runway seem like crappi thing 9pm,2
2077,unit thank kp what go w4840 tonight bad updat onlin phone cant u give custom good info wast time,3
2078,unit 4840 knew flight delay mht alb ewr get crew arriv late flightr departur updat site,18
2079,unit 4840 wtf cant updat time time manner youv known fight delay ur servic aw cnn,17
2080,unit wait plane long miss connect flight left earli that last flight tonight help,2
2081,unit ord gate c25 flt 619 rememb custom valuabl hard nice someon lug guitar amp carryon,2
2082,unit worst servic ever deni access flight move flight 6 time hard schedul gate delta next time,6
2083,unit im denver bag san jose see someth wrong,3
2084,unit know bad your pray connect flight delay hour delay first flight justgetmehom,18
2085,unit play hide seek gate cant find minut,12
2086,unit flight ord delay air forc one last flight sbn 820 5 min land,6
2087,unit 55hr late flightr still cant figur random text updat embarrass ua3728,2
2088,unit stop pick us cle,13
2089,unit book flight sept get best price april usa check 67 cheaper con unhappi custom ripoff,9
2090,unit big properli manag flight time thing time least prepar gate land,2
2091,unit id rather truth flight forc sit day tri get home,2
2092,unit anoth delay day delay outbound delay inbound wait ewr gate readi readi,18
2093,unit cancel flight mileag plu award reserv g6455c day yet see mile back despit agent confirm,6
2094,unit 3 gate chang 30 minut flight roanok flight sou fall ohar pain,0
2095,unit nut said flight ground still albani wont plane someon compens,2
2096,unit doument via link howev four month respons suggest shall expect one,5
2097,unit yall zero concept custom servic ohand connect delay,3
2098,unit curiou youd board flight without pilot seem crucial flight process,13
2099,unit chang crazi youragentshavenoclu,18
2100,unit never get flight time 4 hour delay earlier anoth hour delay connect flight make 10 straight delay,18
2101,unit bc delay oversold 14 passeng mess go compens,3
2102,unit blame weather lol 78 wind cloud sky delay way 4x ru kid charg 15lb w8 delay,11
2103,unit worseoh cant delay reason way lonflight cancel flight reason less 2 day return,18
2104,unit flight 48413 gate chang top realli hope compens pointsmileag account,6
2105,unit contact other flight cant get websit work none info valid,2
2106,unit hour stuck still plane total failur partner ensur best custom experi,3
2107,unit silenc tell,3
2108,unit thank 2hr delay ground crew land least didnt break,3
2109,unit illiter magic code make custom servic site work,3
2110,unit worst airlin ever staff nasti wifi bag delay due weather belt broken sell ual stock,5
2111,unit im confus dulles_airport agent direct us go websit delay noth work,3
2112,unit 50 minut waitstil gate broken jetway might miss connect,5
2113,unit robcnyc see inform board process kp get group 1amp2 reason 35,2
2114,unit lost wallet flight 1007 yesterday houston bogota fill onlin form respons yet,6
2115,unit one hour departur time still updat,18
2116,unit follow see one experienc notic substanti downgrad servic post merger,3
2117,unit 40 minut wait gate broken jetway differ gate mayb,2
2118,unit never got flight austin houston time connect ever ever,6
2119,unit sit tarmac half hour land jetway broken 2daysofunitedfailur 1thingafteranoth,5
2120,unit look twitter histori usual servic non exist,3
2121,unit make sure make cancel flight flight baggag upgrad fee seem like labyrinth might abl swindl,0
2122,unit consid time arriv destin half hour late flightr schedul,6
2123,unit thank tri take money without notic industri cancel flight servic refund issu cont,0
2124,unit direct phone number statu match desk realli regret flight book problem unit,6
2125,unit yet disappoint sit iad ua3728 35hr cant seem know plane hasnt left albani fail,17
2126,unit still sit wait plane4 hour wast,8
2127,unit line get longer move slower ladi work counter great need help customerservicefail,2
2128,unit updat flight 5979 would great,16
2129,unit wast time baggag claim thank dfw ground crew check bag without actual check space frustrat,13
2130,unit problem flight ny today,5
2131,unit flight heavi fli back palm spring air 30 min,6
2132,unit board process suck learn southwestair,5
2133,unit ouch delay due mechan issu qro wait yall seem fall apart alwaysdelay unitedfail,14
2134,unit finger cross capabl get baggag point agtb unit airlin,3
2135,unit happen afternoon huge amt incom plane sfo delay 12 hour frustrat,18
2136,unit way impati partit untruth proper system place,5
2137,unit mayb 1 person work custom servic desk houston airport line 3 row deep 1 person work,3
2138,unit survey long fli lot segment ill fill everi trip take minut,3
2139,unit think hire baggag attend ewr wait bag 1 hr unit overchargedampunderserv,7
2140,unit tell cancel flight flight,0
2141,unit would hard wors last time im sure youll give shot,3
2142,unit servic staff less friendli,3
2143,unit transfer bag,3
2144,unit comedian promis make fun stage tonight,8
2145,unit tri got whole 2000 charact even done,3
2146,unit us reboard without captain well sit anoth 20 min,3
2147,unit flight 1712 houston delay duecto engin troubl willl hold connect argentina houston sinc im late flight,2
2148,unit delay flight slc 25 hour give snowforc,6
2149,unit airlin joke 1 person work special servic ewr line 15 ppl deep grow,16
2150,unit concern close club paid alot 10 last flight 1115p construct go inconveni,7
2151,unit care less person although walk away complain man 10p lax club,3
2152,unit smile,15
2153,unit worst airlin world8 delay gate agent lose mind 15 lb charg 100 top 25 alreadi paid,6
2154,unit bwood wed prefer everyon hear complaint amount airlin,3
2155,unit bother survey,3
2156,unit worst airlin ever 70 leg travel offici done time vocab im take premier statu,3
2157,unit donna juan still best unit club_ bad ual get,12
2158,unit want contact someon question amp put hold 5 minut order hung sent pet line,2
2159,unit keep delay flight horribl custom servic,3
2160,unit realli think downgrad boozefood select club good way go look aircanada,3
2161,unit guy atroci far better servic silver delta platinum ill switch back delta,3
2162,unit deni call got hung speak manag second call,16
2163,unit club den east west disgust,15
2164,unit instal work kick hour wouldnt let back four wast hour,2
2165,unit that tri enter email 2nd devic made email typo way fix amp option log outin,6
2166,unit 46hr told guess theyv appar bag 20hr call,2
2167,unit still wait 4 bag web still cant tell locat come up fedex tell u given minut,13
2168,unit serious wait 2 hour plane 1020 flight leav 3pm leav plane great great,2
2169,unit like hear havent repli tweet andor email yet,3
2170,unit rude grouchi agent dull checkin got 19 hour trip lousi start need nap someth,3
2171,unit 1k use special 80 peopl group one board global 1k togeth,3
2172,unit that didnt read entir tweet wife 12pm flight delay 630 that 3 6 hour flight delay 2 week,18
2173,unit alway help commun custom,3
2174,unit im sure,3
2175,unit help custom couldnt meet subsequ lost,3
2176,unit problem laptop phone,17
2177,unit question given food voucher cant use planehow come,6
2178,unit wifi ewr loung remind old day dial,3
2179,unit need pay car could flight 4 help desk say alreadi left shame,0
2180,unit long 140 charact,12
2181,unit bossf waiver busi cancel flight due weather beforeaft flexibilitycompass extrem circumst,0
2182,unit tri alreadi amp tri forget wifi network connect still forc log incorrect email suggest,6
2183,unit see tweet littl 7 min ago ignor cs request cantlogoutofunitedwifi,3
2184,unit mean 2426,19
2185,unit 46hr yet,6
2186,unit anyon awak pay wifi iphon need use laptop logout option wifi flight time wast,17
2187,unit great job answer public messag direct privat messag much,1
2188,unit work custom support extrem sadden unit wont waiv chang fee flight cancel flight due east coast storm,6
2189,unit how refund come along,6
2190,unit anoth fcking delay past 32 hour,12
2191,unit 777 sfo hnl zero entertain systemsyouareonyourown,7
2192,unit log wifi flight dont see option made typo log help,6
2193,unit flight ua5631 sfo burbank delay twice still plane sight get togeth,0
2194,unit say truth dont even email 2015,17
2195,unit mr she way thought id detail extravaganza dobett pleas,3
2196,unit follow baggag rule websit still charg 150 go one way,13
2197,unit sent dm hour ago,13
2198,unit need track lost luggag ship need ph human autom 8003352247,0
2199,unit weigh 455 check bag,13
2200,unit nonrefund henc wrote 200 doesnt make sens 150 credit nothank,0
2201,unit websit day yesterday tri 3x put info inampdidnt go thru today flight bought went,3
2202,unit realiz wife wait delay flight moment im sure understand tweet,3
2203,unit im minor freak bc might make connect flight hawaii ye im frustrat,16
2204,unit deni sure charg 150 one way 25 way hime,6
2205,unit even chang could made onlin instruct call agent mayb syastem allow agent 2 link passeng,3
2206,unit case id 8544484,3
2207,unit airbu a320 seat aw dont reclin,17
2208,unit dm follow im plu theyr option that fli epicfail,13
2209,unit sit plane hour schedul takeoff without cloud sky keepusguess isthisyourfirsttri,18
2210,unit airplan otherwis would call polic flight take 12h30am,16
2211,unit perfectomobil huh sent 16 crash report feb alon 8 one day app consist crash,3
2212,unit abus threaten forc travel lower cabin last seat yesterday flight houston sao paulo,5
2213,unit contact yesterday told there noth suggest email compens cust servic,3
2214,unit unfortun doesnt help autom comput,8
2215,unit airlin delay flight way chicago leav chicago next time delta,6
2216,unit inquir noth itpretend theyr interest respond dm respons back,13
2217,unit must stop relationship youv becom greedi heartless long term relationship,10
2218,unit custom servic lack owe gopro camera also appreci interrupt everi time speak thank,3
2219,unit get refund would like book better airlin,3
2220,unit call discuss told unit phone contact passeng absurd,16
2221,unit messag request call baggag team still newark pleas help let know next step,13
2222,unit guess that busiest rout base trafficfuel cost region jet decis still great 4 travel,3
2223,unit flight delay 40 minut ord plane didnt food fix futur dumb delay,5
2224,unit need chat actual human asap,3
2225,unit got email say chang mileageplu account confirm didnt make chang help,6
2226,unit 310 disappoint servic miss connect hour delay cramp seat least app good,8
2227,unit joke hang custom,3
2228,unit charg one way baggagefind other leav pittsburgh equip werent charg hung,6
2229,unit publicli ask detail flt sent dm like ask yet 2 day hear unitedfail,3
2230,unit realli hope get help 5th attempt get resolut lost count transfer help pleas mileageplu,13
2231,unit sent dm file refer number want know someon locat bag even yet,13
2232,unit help ua4935 cant take without miss galley cart one find pax seat last hour,0
2233,unit doesnt make sens ive 1k 5 year your make harder keep loyal,3
2234,unit need get cousin pdx she 2 day travel weve hire sitter til arriv thx,3
2235,unit premier desk abl rebook friend americanair problem pay check bag,5
2236,unit thought noth happen,5
2237,unit im book 130 return flight,6
2238,unit flt ord correct per dm flight ord cvg charg incorrectli,6
2239,unit need chang way custom servic handl wait supervisor contact 17 day give,3
2240,unit need talk actual person miss luggag pleas advis make happen,3
2241,unit know see estim time dep 10am dont understand wasnt better estim 3 hr ago,17
2242,unit trick make us look popular twitter worst airlin wellplay jokesonu,14
2243,unit request refund charg twice first place,6
2244,unit ill call soon go tomorrow like show app good option,3
2245,unit ive fill form twice email lost item code verifi receiv,3
2246,unit that told refund doesnt realli makeup inconveni caus miss meet,3
2247,unit pleas explain need pay bag fee twice equal 1200 delay flight result bag recheck overnight,0
2248,unit watch entir uncvsduk game tarmac cancel flight flight crew time right 4hr flight,6
2249,unit reflight book problem would made reach time meet also didnt wan na take chanc book etihad instead,3
2250,unit vacat day relev ritz pr night 700 lose day idiot sleep newark ramada priceless,13
2251,unit time spent night tri sleep toddler bed airport ramada without luggag kidnap furiou,16
2252,unit call check futur flight first agent hung sent pet travel line hell,16
2253,unit fyi siteapp still show plenti unavail flight error almost 24 hr sellout fli americanair,17
2254,unit sure youv say long ive tweet obsolet fleet promis free,3
2255,unit pleas consid let flyer overhead bin item boarddeplan first first class make sens,0
2256,unit never fli unitedairlin ever 285 check bag 50lb angrycustom unitedairlinessuck,14
2257,unit flight turn around mechan reason 13015 never fli unit dont check plane properli,3
2258,unit customari upgrad flight attend uniform vs passeng one 1b flt 1020 iah,1
2259,unit realli address somewher websit find complet irrit amp unabl take flight,3
2260,unit ua1740 45 hr mechan delay get 50 voucher tweet book next trip ua,18
2261,unit spend 20 minut beat ladi bag fee random stranger come pay fee randomactsofcorporategre,5
2262,unit hii still wait refund ridiculousor u approv ticket u give refundpleas advis wht go,14
2263,unit thank mr got rebook alreadi lost first class seat life,13
2264,unit book flight yesterday appear account confirm email sinc hour disappear err segment,6
2265,unit board cant agent phone take care 1k travel link reserv,3
2266,unit ewr ppl told call 1800 2xday sinc monday still layov loc ref tho help appreci,13
2267,unit ruth help rerout us punta cana dull connect fail rep help,0
2268,unit book time call told confirm link even make chang rez,6
2269,unit board 630a flight cancel flight doesnt pilot miss meet atlanta someon slept,3
2270,unit respons 3 week sinc complaint submit 3 day sinc said would look,15
2271,unit thx come hell high water,3
2272,unit worri cold weather snow would delay us morn pilot stillwait,2
2273,unit rush 6 degre weather get airport time bad pilot didnt stillwait,2
2274,unit hand slip paperampsaid call 1800 call 2xday tri get sent still layov airporthav ref tho,13
2275,unit recap bounc flight lie hung suppos thinkdo,3
2276,unit said would need get supervisor wait supervisor hung,16
2277,unit call ladi oversea call center said saw note explain situationagain,16
2278,unit could access seat map said would note upgrad itinerari call back late flightr,16
2279,unit spoke someon feedback line last night said would get prefer choic seat today,16
2280,unit lose luggag hotelstonight lose reserv 10 hour travel day want get startingbloc,6
2281,unit oh flight fine lost luggag much look like ill least half day late flight confer santa monica,13
2282,unit 8h flight without work screen friend possibl move anoth place unitedfailsworsttripofmylif,1
2283,unit gj flight 1101 didnt wifi even though promis ground crew anotherdisappoint,3
2284,unit gj agre 7 hour late flight arriv unaccept hope pray bag,2
2285,unit unhappi unit servic read ralph nader open letter ual ceo leav comment rt,3
2286,unit best seat pay custom get board first badcustomerservic,17
2287,unit happen time unit pilot alway exit row america treat custom better employe,3
2288,unit ye got gate specif ask seat discourag walk past crew 37d,6
2289,unit unavail leg regist hour sold option offer 45min 400ticket traveloc 2of2,17
2290,unit error messag said couldnt process request last step seat select leg agent unawar 1 2,8
2291,unit 4348 soon go wait time gate empti msp airport flight 50 min still count,6
2292,unit horribl wait time 4348 get gate show total miss manag valu custom time respect thier sentiment,6
2293,unit disappoint servic start gate oper bo rude stop carryon bag,3
2294,unit servic suck mexico houston final realiz snack in1st dont work cheap,3
2295,unit guy flight 1230 follow threat sue couldnt carri 3 bag defend free,6
2296,unit pl post video belliger jerk rant sfo 1230 that he go sue make check 3rd bag he hoot,10
2297,unit gj believ hand worst servic ive ever experienc make comcast look amaz unitedairlin,3
2298,unit cant tellpurchas websit put us lufthansa flight first leg,17
2299,unit gj funni attend recommend tweet let know subpar custom servic runaround,3
2300,unit staralli b gate far though,3
2301,unit ua5029 ric ua507 ord amp ua423 den delay nonweath issu way go your bat 1000 hotel,19
2302,unit would made hadnt alreadi book anoth flight cancel flight origin reserv,0
2303,unit staralli book reward travel august everyth black,3
2304,unit tri chang flight book 6 hour ago onlin system charg 200 fee per passeng could pleas help,6
2305,unit submit complaint need compens long take,15
2306,unit horrif flight experi guy made never want fli airplan everi,3
2307,unit fli unit oversorri captain still 20 minut preflight prepar make sat air,2
2308,unit get clue 1k2mm miler respons give,11
2309,unit tri get email talk busi peopl expect airlin wifi,3
2310,unit tri alreadi cancun one deliv,13
2311,unit illeg breach contract touch custom feedback,3
2312,unit way treat custom lot issu worth headach went thru,3
2313,unit ye ewr correct fact beought us share room unexpact,3
2314,unit pleas review fix baggag procedur dull happen everi week sister travel airlin,3
2315,unit noth els gj custom servic,3
2316,unit oh im rebook 7 hour origin arriv time talk compens,6
2317,unit cowork conflict hotel issu tri share post facebook page eras,3
2318,unit lost parent luggag cancun said would deliv hotel 7pm almost 11pm,13
2319,unit watch connect flight den pull away gate pull gate slapinthefac,6
2320,unit christinebpc version 738 row 11 window go ahead check well wait,8
2321,unit im pretti sure ive got shin split sprint iah watch plane pull away jet way,6
2322,unit well incom flight dca take us ewr delay made us miss connect fll ye hotel necessari,16
2323,unit pleas stop cancel flightl flight tri get home take two exam tomorrow youv cancel flightl 3 flight,0
2324,unit amp ive hung twice staff upset right,3
2325,unit 2 hour flight fll ewr 1242 wait 1 hour plu bag sign yet give,6
2326,unit better airlin continent 75 servic fee 75 flight book problem fee 25 talk human fee fu,3
2327,unit despic spoke mani diff peopl amp everyon tell someth differ claim need bag,3
2328,unit come crew travel flight get better seat get stuck check bag crew bag got flight,0
2329,unit funni thing happen arriv flight denver gate current schedul depart sydney lol,6
2330,unit cant claim weather hardwork crew pull seat plane right thing know wont,17
2331,unit your missin point weather your lie seat broken u claim weather get hotel classi,8
2332,unit tri break world record delay flight year,3
2333,unit captain said 820pm flight san francisco delay due weather ua1416 depart failagain,18
2334,unit bet southwestair doesnt turn thirti minut delay origin flight 7 hour delay arriv time,2
2335,unit final destin book unit quanta unit yet contact auckland unawar case id number,3
2336,unit worst fli experi ever past three day airlin need get togeth lost custom,3
2337,unit ye,16
2338,unit customerservic fail long time flyer switch airlin frustrat,5
2339,unit screw professor mayb tell everyon skiplag aviat airport airlin innov startup tech,3
2340,unit staralli right thing reinstat ticket void unitedfail,3
2341,unit neg done wast time amateur custom servic thank least offer,17
2342,unit dm hold custom servic long time 53 min get runaround thank,3
2343,unit im ask simplifi commun thx,3
2344,unit omg bag yyzua70435 enough shenanigan alreadi get real old real quick,3
2345,unit long take mile repurchas expir show reciev email request,3
2346,unit pleas stall flight 1535 ord get sna tonight,2
2347,unit get gate ua4727 turribl,2
2348,unit worst airlin lost luggag delay flight unaccomid,13
2349,unit mean real live person somewher go speak newark post secur,3
2350,unit talk themon standbi tomorrow doesnt look good may stay till friday amp that guarante,6
2351,unit plz dont advertis wifi gon na work thank worstflightev,3
2352,unit apolog presid employe blame heard repeat 20 time,6
2353,unit chang fee 200 exact flight atlhou 165 charg 574 math doesnt add,11
2354,unit hello im oversea amp bag lost cant call custom servic help,3
2355,unit knew shouldv flew virginamerica lol,8
2356,unit ua1641 ewrmco 17 feb wifi never connect allow purchas access twice amp charg need file claim,3
2357,unit feedback concern via site arent go improv poor airport experi,3
2358,unit drop bag newark desk guy rudest custom face person met even two children shock,17
2359,unit quit enjoy except he stuck runway houston,3
2360,unit make total sens except flight wasnt full ive got empti seat around amp overhead half open board,3
2361,unit tri get san juan chicago ohar lot problem may get standbi flight,2
2362,unit well sortaw r tri get aquadilla pr 1 flight goe day book ua cancel flight flight nj,6
2363,unit cost 547 chang citi origin flight cost 165 customerservicefail,1
2364,unit im still frustrat gave seat amp promis travel certif withheld wo explan,2
2365,unit got ta love give 1st class upgrad bc flight delay get anoth flight also delay ensur make connect,0
2366,unit sure happen msp yesterday unhappi bag delay sat msp 8 hr b4 deliveri 230,16
2367,unit im fli americanair way back rare fli let see better,3
2368,unit almost like punish live near larg metro area ewr top rank domest delay good,16
2369,unit thank weather understand everi singl domest flight delay inbound intl flight crazi,3
2370,unit tag number luggag taken weigh scale appear sent conveyor belt without tag,13
2371,unit fli tomorrow mexico us mileag tkt dont show 1k statu help,3
2372,unit correct date 21115,1
2373,unit 3 phone rep none could see rebook miss flighttold go standbi nonexist late flightr flight hurt,2
2374,unit report file airport polic 11th 12th februaryi polic case number requir,15
2375,unit cant dm your follow lly144 rebook ua1516 still need seat,13
2376,unit supervisor situat stacey took detailsno claim number given us,3
2377,unit 1 hour sinc board began still sit gate ua507,2
2378,unit tk repli psp employe blame late flight departur potu main reason dvr flt late flight amp insuffici ground crew handl,6
2379,unit took one window also fun get motion sick,1
2380,unit find text funni consid still sit 2 seat need chang,3
2381,unit 1007 houstonbogota engin problem mechan tri fix problem safeti first better chang plane,5
2382,unit thank make sens annoy cant determin better,0
2383,unit blame give time get drunk tell feel overpr sub par airlin,3
2384,unit idea u dont want us frustrat dont cancel flight flight crew overflow toilet get plumber,0
2385,unit patient luxuri middl seat next delay flight,17
2386,unit patient agent explain book new flight 618 plane doesnt arriv 607,0
2387,unit pleas help trace luggag put without name tag 11 februari 2014 albuquerqu airport,13
2388,unit patient let string tweet go show peopl bad busi,3
2389,unit think guy half full flight 4 held overbook 3pm flight fill one cancel flightl mine,3
2390,unit thank ill fill form one read respond,3
2391,unit patient refus switch flight bc check bag cancel flightl one,0
2392,unit sent dm last week suit regard error respons given pleas answer dm tell send suit,3
2393,unit wrote got nothingand us simpl thingwil ypu provid compens delay,0
2394,unit qlyss8 dont want custom frustrat thank patienc jt love sentiment 180 one,3
2395,unit 4 differ departur arriv updat ua304 1hr pleas,0
2396,unit nope realli window 10a 10f one 8 11 one none 10a sad,12
2397,unit vegan meal creativ noodl pea zuke nonvegan yogurt accept vegan better,9
2398,unit son left tablet plane countri call easili email contact,2
2399,show new program benefici longstand loyal consum unit,15
2400,unit hear blah blah blah shoulda use 400 buy burningman ticket instead amp ill drive fli,3
2401,unit ye suppos 6pm board meet tomorrow finger cross,3
2402,unit thank let switch flight bc check bag cancel flight flight forc take anoth 3 hr late flightr,2
2403,unit inform dont reimburs issu due weather flight keep get cancel flightledthor hate,0
2404,unit midland couldnt get bag connect intl flight sydney get em la amp check em,18
2405,unit may last time fli airlin,3
2406,unit compani motto care heard sever time employe client past week idonotcar,12
2407,unit tell staff lax board group 5 end queue gold member thank noth,5
2408,unit miss crew passeng doc problem frozen toilet plane give money back ua3466,18
2409,unit 20 min departur one wait press ground staffer threaten want get sf today fail,5
2410,unit fli lax sfo system wont let check site tell aircanada tell,3
2411,unit btw virgin jetblu manag time departur time destin amp wouldnt take away 9year old kid bag,2
2412,unit feel poor churchmous level 180 dollar enough make grown man cri im grown man tear happen,1
2413,unit sure plane hour late flight ontim departur ship sail away long time back,18
2414,unit ua6002 mligtden miss connect ua3530 dengtyeg due delay,4
2415,unit come airlin 90 flight last year make check carryon even gate checkbaggag claim,0
2416,unit chang airport actual get flight flight fay cancel flightl twice 180 taxi ride rdureimburs,0
2417,unit ye cours treat custom recours,13
2418,unit stun bag hartford ord ground crew hour move bag 200 yard,13
2419,unit someon assist dm wait 1 hour phone 2 hour twitter,2
2420,unit flight overbook offer voucher wait amp take anoth flight gate agent switch retract voucher offer,18
2421,unit million miler ive delay plenti never amateurish waysilverairwsi id embarrass affili,3
2422,unit airlin claim low fare guarante wont honor lower fare found,17
2423,unit anoth delay unit flight surpris upset im mostli disappoint cancel flight trip dad,3
2424,unit still cant dm lh7631 21215,13
2425,unit book flight w westjet saw price time search wasnt least bit frustrat customerservic,6
2426,unit thank didnt want see weve start flight search fare amp rule itinerari chang,3
2427,unit cat flight delay 1hour arriv hawaii 5 amp wont abl pick tomorrow,3
2428,unit mind get next flight,6
2429,unit youv lost bag least nobodi done anyth help absurd,13
2430,unit what reduct e 737900 1k longer confirm e forget upgrad want legroom unitedfail,1
2431,unit offer voucher switch flight voucher offer doesnt exist amp gate agent switch delay flight,18
2432,unit usual like fli guy 200 fee use credit seem ridicul notcool exhorbitantfe,5
2433,unit thank much miss bag nonexist staff appar remot outpost busi airport citi 1m,3
2434,unit friend lost luggag flight 1547,0
2435,unit board ua1297 refus carri overhead bag space plane load space fail customerexperi,5
2436,unit get act right lost custom staff wouldnt let us take approv carryon half empti flight,2
2437,unit held almost 45 minut promis free movi didnt work neither wifi paid boo,2
2438,unit nice partner delay keep increas everi 20 min ftlauderdalesun orlandosentinel,16
2439,unit ua1740 admit clue flight leav denver unfriendlyski,2
2440,unit yep long wait phone manag rebook hope pleasent one thank ur help,6
2441,unit worst experi ever fli,5
2442,unit ua1740 inbound flight dep time get closer push back 15 min youv 2 hr,6
2443,unit flight mke ord get delay gate attend commun,2
2444,unit plane sound like dj scratch normal eventu new entertain fee,2
2445,unit trust unit futur flight book problemss confirm ticket purchas ticket cancel flightl fact,0
2446,unit rebook one late flight,0
2447,unit 2nd late flight flight today,6
2448,unit u miss first leg ur flight pay hundr keep second leg much keep earn mile,17
2449,unit 3586 iad buf incred loud like third world 70 inner citi metro bu lowstandard,14
2450,unit 16 day one flight 8 roundtrip,13
2451,unit overal experi fli friendli,3
2452,unit good start would warm plane departur time flight isnt delay due frozen water line,18
2453,unit annnnddddd im go lose first class seat flight shuffl,17
2454,unit 6 hour mechan delaykil,18
2455,unit everi time check bag airlin im confid wear cloth 3 day pleas prove wrong,13
2456,unit thank unit run water late flight flight grand rapid denver,3
2457,unit kn allow bypass receipt refund request form never receiv receipt email charg,2
2458,unit happen realli confus 1st content come 6in screen technolog forward unit,16
2459,unit mean like mail address rate surli unit cowork im guess benefit arent great,3
2460,unit alreadi sent feedback rep told prioriti im speechless system,3
2461,unit monopoli flysfo doesnt mean treat frequent flier like crap,5
2462,unit yeah bag way per usual im actual get use get deliv kind nice sens,3
2463,unit take 46 week new mileageplu premier card sent stillwait doesntfeellikestatusyet,15
2464,unit wonder peopl hate deal airlin ridicul inflex polici need phone number resolut,3
2465,unit le2v9d pnr number flight first leg cancel flightl due bad weather iatanbul make reflight book problem,0
2466,unit 22 suggest cant confirm cert time flight book problem assum may never clear didnt use way,6
2467,22 unit dont realli care comfort care profit that fine unfriendlyski,3
2468,12 unit honest custom new seat design fit row plane row money,2
2469,unit miss wed delay would cool,16
2470,unit design deter peopl forget thing provid storag space articl say latter unfriendlyski,17
2471,unit think miss meet worth flight voucher fli time would make right,6
2472,unit directtv pile time updat flight tv packag,6
2473,unit hard add meal prefer book ticket forgot amp imposs even call,3
2474,unit learn hold connect text anoth flight late flightr connect hasnt left pull gate,2
2475,unit ridic cant transfer credit 400 amp your take 200 cancel flightl atleast let keep credit damn,3
2476,unit plane took gate wait lot dia,18
2477,unit flight omaha chicago en rout nyc seat partner separ pleas fix re ilc0hp,16
2478,unit airport self checkin option im employe train bitch send paycheck asap,16
2479,unit websit say 10 day 16 count,5
2480,unit lack custom servic astound 2daysofhel,3
